TransactionID,Amount,ReferenceNumber,Date,Description
NDVBJNIL6ELH,839.56,REF-38434697,2025-06-29,withdrawal
SHGK2QM4LZDG,739.87,REF-54695890,2025-12-17,payment
HOASVINWY7UN,914.69,REF-10376628,2025-03-11,deposit
FVFZZY0T4KCE,622.26,REF-22086135,2025-06-05,deposit
SBXQD8ENKWQV,456.7,REF-17481746,2025-10-12,invoice
4OIA5P45KGE1,632.94,REF-45285690,2026-01-19,invoice
XQJBTMMQU29I,519,REF-31713690,2025-04-28,invoice
KMGG0TEYIC25,571.52,REF-55675021,2025-04-07,withdrawal
26NXNDI1ABGD,925.4,REF-41923851,2025-07-04,withdrawal
F2YIEUBCOI19,874.32,REF-70059503,2025-04-03,withdrawal
TOXXG2CF8CY9,674.93,REF-02914171,2025-02-19,payment
NDDG0HC0UTHH,312.63,REF-73512497,2025-08-23,deposit
HLAAYJB6OYKQ,945.07,REF-82892336,2025-05-14,invoice
RJXX8LT2GLKE,116.17,REF-05934636,2025-10-26,payment
NIJKYSASFJFT,840.91,REF-05977645,2025-08-07,deposit
3LHA4IKTLKVK,309.37,REF-12735133,2025-01-27,withdrawal
NGHCPXOUIWOO,945.78,REF-89412414,2025-10-04,deposit
MT7M2LSG0FIN,891.01,REF-54875512,2025-05-18,payment
W0SHBUPQTZZP,713.23,REF-61440747,2025-06-12,invoice
117MKNKHIKGI,152.63,REF-63255779,2025-10-08,invoice
J9UEF4NXG5HV,538.76,REF-48279444,2025-02-04,withdrawal
QXO5CM7VFYUV,911.62,REF-54039315,2026-01-06,invoice
6XOEAAUDTVK2,685.94,REF-73104540,2025-05-16,payment
95XJHFM76PVR,478.12,REF-30106844,2025-06-13,deposit
44V1KYAQYHLJ,424.35,REF-06483303,2025-02-18,invoice
MKMMHK0MEH6Z,507.96,REF-29019837,2025-06-20,invoice
KWAJTXBBMMQQ,265.63,REF-37114505,2025-12-24,payment
V4PRHAVM0DQU,806.98,REF-71634037,2026-01-16,invoice
T3USG7OB6LLC,975,REF-13942403,2025-08-21,withdrawal
3PE7LGE65G8M,345.29,REF-81302451,2025-09-11,withdrawal
IPWYJIFJLV7X,505.06,REF-65362051,2025-08-13,deposit
ROLBTOHUKCLC,444,REF-78057103,2025-12-21,payment
STTPUKALLGY5,713.81,REF-28449059,2025-07-03,withdrawal
HE8EOK9HXAR0,418.28,REF-61289605,2025-10-30,payment
